Country,ExchangeRateAtPPP,Exports,HouseholdExpenditures,Imports,ImprovedSanitation,ImprovedWater,Population,Population15To64,PopulationGrowth,TotalInvestment,Unemployment,Urban,AgeDependencyRatioOld,CellphoneSubscriptions,GovernmentRevenues,GovernmentSpending,HealthExpenditure,IndustrialProduction,InternetUsers
Paraguay,0.200175,0.004154,0.003065,0.004420,0.776923,0.909224,0.004983,0.389020,0.289248,0.197545,0.163154,0.576979,0.207095,0.420843,0.001881,0.001648,0.000025,0.050915,0.384375
Peru,0.000102,0.020242,0.018631,0.015416,0.704396,0.806735,0.022737,0.460993,0.249286,0.418130,0.235214,0.747494,0.233825,0.396774,0.014349,0.011292,0.038461,0.015629,0.408333
Philippines,0.001850,0.022907,0.039172,0.023840,0.717582,0.879941,0.071630,0.385343,0.292103,0.263834,0.220938,0.426962,0.144642,0.424318,0.016436,0.013327,0.000899,0.021968,0.385417
Poland,0.000130,0.079119,0.043744,0.069855,0.884615,0.813761,0.028308,0.612293,0.126546,0.249669,0.330387,0.558959,0.498126,0.619616,0.059336,0.053690,0.083878,0.037876,0.654688
Portugal,0.000032,0.027692,0.013731,0.027435,1.000000,0.997072,0.007790,0.503546,0.078021,0.189991,0.531951,0.567294,0.692980,0.460958,0.020615,0.018487,0.398497,0.011096,0.646875
Qatar,0.000255,0.058907,0.003202,0.011226,1.000000,1.000000,0.001477,1.000000,0.660324,0.448725,0.288733,0.987499,0.017237,0.630856,0.016271,0.009616,0.054933,0.007140,0.888542
Romania,0.000146,0.025507,0.019528,0.025632,0.693407,0.819912,0.015638,0.591542,0.073264,0.334278,0.227396,0.468972,0.528354,0.428951,0.017518,0.015270,0.044340,0.017625,0.518333
Russia,0.001925,0.231176,0.168961,0.115388,0.675824,0.956076,0.105030,0.627528,0.148430,0.345420,0.167573,0.707174,0.444667,0.631714,0.177401,0.148229,0.006296,0.127823,0.639583
Rwanda,0.021657,0.000225,0.001290,0.000580,0.602198,0.571010,0.007812,0.194641,0.388202,0.331634,0.288733,0.092578,0.096178,0.219667,0.000802,0.000710,0.000054,0.050915,0.090625
Saint Kitts and Nevis,0.000150,0.000018,0.000027,0.000080,0.956044,0.975110,0.000037,0.425708,0.235014,0.803399,0.288733,0.235387,0.289731,0.585593,0.000085,0.000069,0.052753,0.050915,0.833333
Saint Lucia,0.000105,0.000070,0.000057,0.000230,0.617582,0.909224,0.000118,0.525085,0.200761,0.488763,0.288733,0.064872,0.312765,0.474987,0.000117,0.000095,0.064182,0.050915,0.366667
Saint Vincent and the Grenadines,0.000090,0.000018,0.000042,0.000135,0.684665,0.813761,0.000073,0.537168,0.127498,0.399622,0.288733,0.433495,0.245816,0.467779,0.000000,0.000108,0.044391,0.050915,0.541667
Samoa,0.000084,0.000026,0.027314,0.000124,0.907692,0.978038,0.000125,0.257946,0.201713,0.341150,0.288733,0.095506,0.212341,0.368243,0.000140,0.000113,0.025065,0.050915,0.159375
San Marino,0.000054,0.037409,0.027314,0.029448,0.684665,0.813761,0.028224,0.425708,0.188392,0.258168,0.251530,0.934002,0.289731,0.477733,0.000000,0.000000,0.430293,0.050915,0.529167
Sao Tome and Principe,1.000000,0.000004,0.027314,0.000044,0.279121,0.956076,0.000132,0.203047,0.372027,0.687441,0.444596,0.586778,0.140395,0.254591,0.000026,0.000026,0.000000,0.050915,0.239583
